id,fold,feature_type,feature_set,model_name,hyperparameters,fit_metric,tn,fp,fn,tp,balanced_accuracy,f1,precision,recall,specificity,detected_seizures,total_seizures,false_detected_rate,data_length_hours,norm_type,percent_detected
155aa1c3512b4561aa54a6369fe3b583,0,local,best_5_and_leastcorr,passive_aggressive,"{'C': 10, 'class_weight': 'balanced'}",0.924385603098274,3625046,337197,946,5277,0.8814403667588853,0.0302669653022538,0.0154084689640673,0.8479832878033103,0.9148974457144602,608,608,9.274898663614604,5511.758333333333,per_file,100.0
260d5b763fc14983aedf4feaee4d7e6d,0,local,best_5_and_leastcorr,sgd,"{'alpha': 0.01, 'class_weight': 'balanced', 'early_stopping': False, 'eta0': 0.01, 'learning_rate': 'adaptive', 'loss': 'hinge', 'max_iter': 1000, 'penalty': None, 'tol': 0.001, 'validation_fraction': 0.2}",0.9335747553152728,3779284,182959,1017,5206,0.8951991932610621,0.0535629771385064,0.0276672069726038,0.8365739996786116,0.9538243868435128,608,608,5.016185095197994,5511.758333333333,per_file,100.0
3bc52baabf844b5d826f4786c7ab50ee,0,local,best_10_and_leastcorr,decision_tree,"{'ccp_alpha': 0, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1000}",0.9555971090725222,3886232,76011,954,5269,0.9137569516176248,0.1204301566803424,0.0648252952755905,0.846697734211795,0.9808161690234548,608,608,1.9901090244946031,5511.758333333333,per_file,100.0
5f9d681913394e5e964b522891b7585c,0,local,best_10_and_leastcorr,gaussian_nb,{'var_smoothing': 0.001},0.8992543504167361,3920669,41574,1246,4977,0.894641243198506,0.1886156061697047,0.1069149964555004,0.7997750281214848,0.9895074582755272,608,608,1.2052415215350214,5511.758333333333,per_file,100.0
e07724cc77214cacbabb3ec188ce8852,0,local,best_10_and_leastcorr,passive_aggressive,"{'C': 100, 'class_weight': 'balanced'}",0.912958239343953,3505640,456603,716,5507,0.8848522192026038,0.0235174544608216,0.0119170760208608,0.8849429535593765,0.8847614848458311,608,608,13.39282231471808,5511.758333333333,per_file,100.0
9d1f4b8503f5464da50f6662925a6f66,0,local,best_10_and_leastcorr,sgd,"{'alpha': 0.001, 'class_weight': 'balanced', 'early_stopping': False, 'eta0': 0.01, 'learning_rate': 'adaptive', 'loss': 'hinge', 'max_iter': 1000, 'penalty': None, 'tol': 0.001, 'validation_fraction': 0.2}",0.9358725896056156,3791916,170327,996,5227,0.8984805289543367,0.0575100260208937,0.0297743144559508,0.8399485778563394,0.957012480052334,608,608,4.616494131485567,5511.758333333333,per_file,100.0
125e1bbabfc640698d8ef743c5912d93,0,local,best_15_and_leastcorr,decision_tree,"{'ccp_alpha': 0, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1000}",0.961633108517679,3855830,106413,973,5250,0.9083938933911508,0.0890691006565665,0.047016469197496,0.843644544431946,0.9731432423503557,608,608,2.987068554952972,5511.758333333333,per_file,100.0
3f9288810bbc427ca71918e675970a56,0,local,best_15_and_leastcorr,gaussian_nb,{'var_smoothing': 0.01},0.8914111363154307,3916004,46239,1318,4905,0.8882675703228193,0.1710042358847421,0.0959056780854059,0.7882050457978467,0.988330094847792,608,608,1.37034309982749,5511.758333333333,per_file,100.0
90747570ad264593a7aa72e00217f460,0,local,best_15_and_leastcorr,passive_aggressive,"{'C': 100, 'class_weight': 'balanced'}",0.92293353927389,3601854,360389,914,5309,0.8810848487955026,0.0285490735935857,0.0145174433548993,0.8531255021693717,0.9090441954216336,608,608,11.057088557644189,5511.758333333333,per_file,100.0
a3decd920dfb435f8099f8b70577d0cd,0,local,best_15_and_leastcorr,sgd,"{'alpha': 0.01, 'class_weight': 'balanced', 'early_stopping': False, 'eta0': 0.01, 'learning_rate': 'adaptive', 'loss': 'log_loss', 'max_iter': 1000, 'penalty': 'l2', 'tol': 0.001, 'validation_fraction': 0.2}",0.9411099102709874,3845970,116273,1042,5181,0.9016056987906058,0.0811579219436547,0.0426581257101454,0.8325566447051261,0.9706547528760856,608,608,3.4879976293106707,5511.758333333333,per_file,100.0
579a71851857457bab1ea9ea04a935a4,1,local,best_5,decision_tree,"{'ccp_alpha': 0, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1000}",0.9397538635512438,3767523,194720,1236,4987,0.8761190443642703,0.0484339338610207,0.0249715833696365,0.801381970110879,0.9508561186176616,608,608,6.051426420183517,5511.758333333333,per_file,100.0
dd7cd38de76e4546b9181c6d6ef1f950,1,local,best_5,gaussian_nb,{'var_smoothing': 0.001},0.8883331024038873,3926084,36159,1636,4587,0.8639891994815453,0.1953203176563265,0.1125754675305551,0.7371042905351117,0.9908741084279789,608,608,1.0550172283194563,5511.758333333333,per_file,100.0
ad960b1adb5442928f1f37aba3ec0ff3,1,local,best_5,passive_aggressive,"{'C': 0.1, 'class_weight': 'balanced'}",0.8384247167499352,3061670,900573,907,5316,0.8134808384223653,0.0116564632413563,0.0058682686289379,0.8542503615619477,0.772711315282783,608,608,20.47858290835804,5511.758333333333,per_file,100.0
74f1164def2c4496bd221b6a2f9663e1,1,local,best_5,sgd,"{'alpha': 0.001, 'class_weight': 'balanced', 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'adaptive', 'loss': 'hinge', 'max_iter': 1000, 'penalty': None, 'tol': 0.0001, 'validation_fraction': 0.2}",0.9048357947551556,3851682,110561,1439,4784,0.870428704148851,0.0787049223479863,0.0414755732801595,0.768761047726177,0.9720963605715248,608,608,3.780463282285901,5511.758333333333,per_file,100.0
4fe2dd51c557452aada504827d2903ba,1,local,best_10,decision_tree,"{'ccp_alpha': 0, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1000}",0.9646792384140788,3842622,119621,1141,5082,0.893228847973538,0.0776316392465973,0.0407528287210412,0.8166479190101237,0.969809776936952,608,608,3.1888190550202524,5511.758333333333,per_file,100.0
c8d7479df8fe4cd7b9873661fc83cfd8,1,local,best_10,gaussian_nb,{'var_smoothing': 0.01},0.8957107590046927,3918829,43414,1494,4729,0.8744829708143662,0.1739690247581209,0.0982281951685603,0.759922866784509,0.9890430748442234,608,608,1.3088382261559002,5511.758333333333,per_file,100.0
a7b551e4393146549f07a6a43bb354a7,1,local,best_10,passive_aggressive,"{'C': 1, 'class_weight': 'balanced'}",0.8609807417629713,3333906,628337,1268,4955,0.8188293093737075,0.015496118152037,0.0078241948421897,0.7962397557448176,0.8414188630025973,608,608,19.68065242337972,5511.758333333333,per_file,100.0
1535ac2d31244afc9c72328e9e8be27c,1,local,best_10,sgd,"{'alpha': 0.01, 'class_weight': 'balanced', 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'adaptive', 'loss': 'hinge', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.001, 'validation_fraction': 0.2}",0.9101898923109022,3858796,103447,1427,4796,0.8722905931822418,0.0837978089563713,0.0443077150485481,0.7706893781134501,0.9738918082510336,608,608,3.4264927556390807,5511.758333333333,per_file,100.0
2b3bd532a2a34889902bc5fedde5549a,1,local,best_15,decision_tree,"{'ccp_alpha': 0, 'class_weight': 'balanced', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1000}",0.9661807207046552,3841198,121045,1146,5077,0.8926474162788587,0.0767237145339831,0.0402546740457652,0.8158444480154267,0.9694503845422908,608,608,3.3018501355435577,5511.758333333333,per_file,100.0
