id,fold,feature_type,feature_set,model_name,hyperparameters,fit_metric,norm_type,post_processing,tn,fp,fn,tp,balanced_accuracy,f1,precision,recall,specificity,detected_seizures,total_seizures,false_detected_rate,data_length_hours
9dbb99582a2d4b29b5ad6542eeed067e,0,local,best_5,gaussian_nb,{'var_smoothing': 0.001},0.8589781158583267,per_file,erosion_dilation_dilation=2_erosion=1,3948343,13900,1534,4689,0.8749934924310954,0.3779622763179107,0.2522459519070418,0.7534950988269323,0.9964918860352583,608,608,0.743138532621925,5511.758333333333
9dbb99582a2d4b29b5ad6542eeed067e,0,local,best_5,gaussian_nb,{'var_smoothing': 0.001},0.8589781158583267,per_file,erosion_dilation_dilation=3_erosion=1,3947931,14312,1529,4694,0.8753432371747218,0.37211145903523724,0.24697463958749868,0.7542985698216295,0.9963879045278141,608,608,0.7179197201135149,5511.758333333333
9dbb99582a2d4b29b5ad6542eeed067e,0,local,best_5,gaussian_nb,{'var_smoothing': 0.001},0.8589781158583267,per_file,erosion_dilation_dilation=4_erosion=2,3954591,7652,1566,4657,0.8732108275520829,0.5025901143967192,0.37834105126330325,0.748352884460871,0.9980687706432947,608,608,0.24112087642933064,5511.758333333333
9dbb99582a2d4b29b5ad6542eeed067e,0,local,best_5,gaussian_nb,{'var_smoothing': 0.001},0.8589781158583267,per_file,rolling_mean_6_0.5_0.2,3939745,22498,379,5844,0.9667094008125356,0.3381455229278172,0.2061957518876579,0.9390968986019604,0.9943219030231109,608,608,0.4142053881776989,5511.758333333333
9dbb99582a2d4b29b5ad6542eeed067e,0,local,best_5,gaussian_nb,{'var_smoothing': 0.001},0.8589781158583267,per_file,rolling_mean_8_0.5_0.2,3940805,21438,160,6063,0.9844391782152015,0.35956588779504206,0.2204647103741682,0.974288928169693,0.99458942826071,608,608,0.21662778514418418,5511.758333333333
9dbb99582a2d4b29b5ad6542eeed067e,0,local,best_5,gaussian_nb,{'var_smoothing': 0.001},0.8589781158583267,per_file,rolling_mean_10_0.5_0.2,3945819,16424,224,5999,0.9799296862742917,0.41883683585840953,0.26753779601302236,0.9640044994375703,0.9958548731110132,599,608,0.1455071052643515,5511.758333333333
b70df609fbbe44d0b060acfc1337e4b4,0,local,best_5,sgd,"{'alpha': 0.01, 'class_weight': 'balanced', 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'adaptive', 'loss': 'hinge', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.0001, 'validation_fraction': 0.2}",0.8893611035342859,per_file,none,3865632,96611,1425,4798,0.8733139300812882,0.08915564144492344,0.047313354830439115,0.7710107665113289,0.9756170936512475,608,608,11.5113900434072,5511.758333333333
b70df609fbbe44d0b060acfc1337e4b4,0,local,best_5,sgd,"{'alpha': 0.01, 'class_weight': 'balanced', 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'adaptive', 'loss': 'hinge', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.0001, 'validation_fraction': 0.2}",0.8893611035342859,per_file,dilation_erosion_dilation=2_erosion=1,3878856,83387,1359,4864,0.8802855904113878,0.10297012934775705,0.05511552277028022,0.7816165836413306,0.978954597181445,608,608,3.2884242929131813,5511.758333333333
b70df609fbbe44d0b060acfc1337e4b4,0,local,best_5,sgd,"{'alpha': 0.01, 'class_weight': 'balanced', 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'adaptive', 'loss': 'hinge', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.0001, 'validation_fraction': 0.2}",0.8893611035342859,per_file,dilation_erosion_dilation=2_erosion=2,3889474,72769,1359,4864,0.8816254880400793,0.11600839534439993,0.0626537683716976,0.7816165836413306,0.9816343924388282,608,608,2.32521079933657,5511.758333333333
b70df609fbbe44d0b060acfc1337e4b4,0,local,best_5,sgd,"{'alpha': 0.01, 'class_weight': 'balanced', 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'adaptive', 'loss': 'hinge', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.0001, 'validation_fraction': 0.2}",0.8893611035342859,per_file,dilation_erosion_dilation=3_erosion=3,3883988,78255,1349,4874,0.8817366743869142,0.10909660667920137,0.058631765087995766,0.7832235256307247,0.9802498231431035,608,608,1.8366189857743522,5511.758333333333
b70df609fbbe44d0b060acfc1337e4b4,0,local,best_5,sgd,"{'alpha': 0.01, 'class_weight': 'balanced', 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'adaptive', 'loss': 'hinge', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.0001, 'validation_fraction': 0.2}",0.8893611035342859,per_file,erosion_dilation_dilation=2_erosion=1,3910050,52193,1429,4794,0.8785977001757079,0.15168485999050785,0.08412444943583625,0.7703679897155713,0.9868274106358444,608,608,2.5971748277546034,5511.758333333333
b70df609fbbe44d0b060acfc1337e4b4,0,local,best_5,sgd,"{'alpha': 0.01, 'class_weight': 'balanced', 'early_stopping': False, 'eta0': 0.001, 'learning_rate': 'adaptive', 'loss': 'hinge', 'max_iter': 1000, 'penalty': 'l1', 'tol': 0.0001, 'validation_fraction': 0.2}",0.8893611035342859,per_file,erosion_dilation_dilation=3_erosion=1,3908062,54181,1422,4801,0.8789092618661718,0.14725864580937043,0.08139771455698348,0.7714928491081472,0.9863256746241964,608,608,2.47652367438703,5511.758333333333
