tn,fp,fn,tp,balanced_accuracy,f1,precision,recall,specificity,detected_seizures,total_seizures,false_detected_rate,data_length_hours,percent_detected_seizures,fold,model,feature
3954792,6050,609,5614,0.9503048899223698,0.6277184547436686,0.4813100137174211,0.9021372328458943,0.9984725469988452,608,608,0.1094411107456016,5509.8125,100.0,0,gaussian_nb,local_line_length_vhpc
3954758,6084,605,5618,0.9506219863035511,0.626834030683403,0.480088873696804,0.902780009641652,0.9984639629654503,608,608,0.1103485826423313,5509.8125,100.0,1,gaussian_nb,local_line_length_vhpc
3954589,6253,597,5626,0.9512434292516068,0.6215887747210254,0.47360888963717485,0.9040655632331673,0.9984212952700461,608,608,0.11379697584990414,5509.8125,100.0,2,gaussian_nb,local_line_length_vhpc
3954724,6118,599,5624,0.951099776883672,0.626106317840245,0.47896440129449835,0.9037441748352885,0.9984553789320554,608,608,0.11089306578036912,5509.8125,100.0,3,gaussian_nb,local_line_length_vhpc
3954764,6078,608,5615,0.9503817024198533,0.6268140209868275,0.48020183015479345,0.9022979270448337,0.9984654777948729,608,608,0.10998559388363942,5509.8125,100.0,4,gaussian_nb,local_line_length_vhpc
